id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,date
4826072438540979,MaWgjzPTJ,6583358364,要开心要自由不要丧不要down,谢谢2020年的自己让我舒坦地交了才艺展示谢谢疫情谢谢手指舞,,,,,0,5,0,2022-10-18 23:59:00,iPhone客户端,"['https://wx3.sinaimg.cn/large/007bx6fqly1h79vsoalskj30fa0d33z9.jpg', 'https://wx1.sinaimg.cn/large/007bx6fqly1h79vsdqpl9j30pk0k7dn4.jpg', 'https://wx3.sinaimg.cn/large/007bx6fqly1h79vtvzbzhj30ih0i2jtr.jpg', 'https://wx1.sinaimg.cn/large/007bx6fqly1h79vv770w9j30wi1ycdio.jpg']",,,2022-10-18
4826072409705726,MaWggEITY,3253198047,河北高速96122,"京哈高速(G1):京哈高速廊坊段:因京哈高速京秦段发生交通事故,香河北站、香河东站天津方向禁止车辆上道。因疫情防控,香河服务区双向临时关停。京哈高速京秦段:因玉田站附近K107处沈阳方向发生交通事故,玉田站附近K107处沈阳方向车辆拥堵约4公里。京昆高速(G5):京昆高速保定段:因交通管制,曲阳停车区石家庄方向禁止车辆驶入。青兰高速(G22):青兰高速邯长段:因改扩建施工,涉县西站山西方向，涉县西站下道口邯郸方向关闭。首都环线高速(G95):首都环线高速:因交通管制,固安服务区双向禁止车辆驶入。京秦高速(G0121):京秦高速/清东陵支线:因疫情防控,玉田城北站下道口K121+112处、玉田城西站下道口K111+489处秦皇岛方向车辆缓慢通行约200米。京秦高速三河段:因K52+460处与首都环线高速涿州方向互通匝道北京方向断交施工,与首都环线高速涿州方向互通匝道K52+460处北京方向车辆无法转行首都环线高速涿州方向。东吕高速(G2516):邢临高速:因交通管制,威县服务区临清方向禁止车辆驶入。邢衡高速(S30):邢衡高速邢台段:因交通管制,尹支江服务区汾阳方向禁止车辆驶入。迁西支线(S53):京秦高速迁西支线:因交通管制,新庄子站唐山方向禁止车辆上道。详细情况请关注""河北高速公路""微信公众平台、""河北高速通""手机APP、河北省高速公路出行信息服务网O网页链接",,,,,0,0,0,2022-10-18 23:59:00,新版微博 weibo.com,,,,2022-10-18
4826072409181860,MaWggCwCw,3756939252,过度摄入肖战会窒息叭,如果不是这b疫情我都不敢想我这段日子能有多幸福,,,,,0,0,2,2022-10-18 23:59:00,肖肖喜欢的Android,,,,2022-10-18
4826072404984964,MaWggkUOE,1103486597,天然有机草莓,如果没有疫情😷，我们现在都在干什么呢？,,,,,0,0,0,2022-10-18 23:59:00,iPhone客户端,,,,2022-10-18
4826072400790473,MaWgg3jDz,5559075242,行路悲畴昔,上周五的时候我在想，余票还很多挑个晚上去听唱相声吧，顺便在老门东散个步吃个宵夜，美滋滋然后看到流调有夫子庙附近，感觉不是很稳，就没去，风声日紧，继而就停场了去年是第一次自己抢到几队的票来着，也是因为疫情取消了，就还挺艰难的,,,,,0,0,0,2022-10-18 23:59:00,iPhone客户端,['https://wx4.sinaimg.cn/large/0064djpUly1h79vvcpiiwj30h70ex3yr.jpg'],,,2022-10-18
4826072401577482,MaWgg6Cng,1821114197,Qi_0922,EDG他们🐑了之后，真正意识到疫情防控的必要性，从古至今，传染疫情都是要隔离的，摆烂等死不可取呀不可取！🐑了虽然你不一定死，但干啥事都不能利索，还有可能有长期影响,,,,,0,0,0,2022-10-18 23:59:00,EDG超话,,,,2022-10-18
4826072380345460,MaWge1rRW,5136639135,廾匸等妲,突然发现微信快手抖音里有家人朋友同事竟然让自己没法说一句心里话，真的憋的太久了让人无法自拔。还是没有疫情好啊，心里不舒服了难受了会出去旅游一下放松一下。也不至于想找人说说话都没有一个人，或许是我做人做得失败吧。真怀疑我是不是属于重度抑郁者,,,,,0,0,0,2022-10-18 23:59:00,OnePlus 9R,['https://wx1.sinaimg.cn/large/005BCOujly1h79vvagl2gj33341e0e81.jpg'],,,2022-10-18
4826072371168509,MaWgd4TYV,5791932017,LESSIM-7,离谱！还在上班突然通知封控了😓早上出门还开玩笑说几时封到，说来就来！几号解封也不说，两边家都回不去，暂住男友家他又出差…真无奈🙄这些年总结来都是被疫情打乱的一切！😭,,,,,1,1,0,2022-10-18 23:59:00,iPhone客户端,['https://wx4.sinaimg.cn/large/006jYm6lgy1h79vuyfsibj32c0340e81.jpg'],,,2022-10-18
4826072363828000,MaWgcg3PW,2438220663,山七七啊,4号居家到现在是有14天了，通知还要继续静默5天，运城疫情最严重的一次吧，我学会了做好多饭,,,,,0,6,3,2022-10-18 23:59:00,iPhone客户端,"['https://wx1.sinaimg.cn/large/91544b77ly1h79vsph4p8j20mi0u0q5t.jpg', 'https://wx1.sinaimg.cn/large/91544b77ly1h79vsq8dr3j20mi0u0ju8.jpg', 'https://wx1.sinaimg.cn/large/91544b77ly1h79vsr0tnej20mi0u0n0h.jpg', 'https://wx2.sinaimg.cn/large/91544b77ly1h79vss125zj20mi0u0dup.jpg', 'https://wx3.sinaimg.cn/large/91544b77ly1h79vstb0hkj213u0tu79s.jpg', 'https://wx4.sinaimg.cn/large/91544b77ly1h79vstz29bj20mi0u015l.jpg', 'https://wx2.sinaimg.cn/large/91544b77ly1h79vsusg93j20mi0u0qgq.jpg', 'https://wx4.sinaimg.cn/large/91544b77ly1h79vsvjq2wj20mi0u0qfv.jpg', 'https://wx3.sinaimg.cn/large/91544b77ly1h79vsom724j21400u0hdq.jpg']",,,2022-10-18
4826072358849845,MaWgbB8fr,5390654190,卡尔顿胖猫,如果别人知道我有晚上十一点睡不着就打坐的习惯，会不会觉得我比较另类。疫情这三年，养成了没事就爬山运动，心慌失眠就打坐的习惯。19年一个算命的说我近几年修身养性，不要做无谓的挣扎折腾，我想也算是应验了吧。最终命运的洪流会把我们冲向何处，只能交给时间了。,,,,,0,0,0,2022-10-18 23:59:00,OPPO Reno8 5G,,,,2022-10-18
